"Povpreène drobnoprodajne cene izdelkov in storitev, Slovenija, letno"

"IZDELKI IN STORITVE";"Povpreèna drobnoprodajna cena (EUR) 2018";"Povpreèna drobnoprodajna cena (EUR) 2019";"Povpreèna drobnoprodajna cena (EUR) 2020";"Povpreèna drobnoprodajna cena (EUR) 2021";"Povpreèna drobnoprodajna cena (EUR) 2022"
"01.1.1 KRUH IN IZDELKI IZ ŽIT";-;-;-;-;-
"...Riž, beli (kg)";2.07;2.02;2.05;2.13;2.32
"...Moka, pšenièna, razen polnozrnata (kg)";0.66;0.66;0.72;0.74;0.92
"...Kruh (bel, polbel, èrn) (kg)";2.13;2.27;2.42;2.37;2.87
"...Testenine (kg)";2.58;2.34;2.49;2.62;3.10
"...Kosmièi za zajtrk (kg)";5.00;5.18;5.19;5.06;5.70
"01.1.2 MESO";-;-;-;-;-
"...Meso, goveje brez kosti (kg)";7.30;7.95;8.50;9.20;9.59
"...Meso, goveje s kostjo (kg)";5.25;5.56;6.27;6.58;7.46
"...Meso, svinjsko s kostjo (kg)";4.62;4.80;5.82;5.22;5.44
"...Meso, pišèanèje brez kosti (kg)";7.27;7.47;7.92;7.98;8.62
"...Meso, mleto mešano (kg)";5.05;5.39;6.62;6.46;7.05
"01.1.4 MLEKO, SIR IN JAJCA";-;-;-;-;-
"...Mleko, trajno, polnomastno (l)";0.74;0.74;0.77;0.76;1.00
"...Jogurt (kg)";2.12;2.27;2.25;2.36;2.57
"...Sir (kg)";7.57;7.97;8.36;8.72;11.12
"...Skuta (kg)";3.81;3.88;3.94;4.04;4.45
"...Jajca (10 kosov)";1.67;1.64;1.80;2.02;2.09
"01.1.5 OLJE IN MAŠÈOBE";-;-;-;-;-
"...Maslo (kg)";8.11;8.38;8.44;8.44;10.05
"...Olje, olivno (l)";7.76;7.29;7.34;7.66;7.75
"...Olje, jedilno (l)";1.40;1.35;1.39;1.67;2.60
"01.1.6 SADJE";-;-;-;-;-
"...Limone (kg)";2.07;1.79;2.03;1.77;1.85
"...Pomaranèe (kg)";1.24;1.12;1.40;1.33;1.46
"...Jabolka (kg)";1.35;1.13;1.53;1.43;1.51
"...Banane (kg)";1.20;1.17;1.15;1.17;1.32
"...Breskve (kg)";1.84;1.64;1.82;1.94;2.15
"...Jagode (kg)";4.63;4.55;5.81;5.81;5.73
"01.1.7 ZELENJAVA";-;-;-;-;-
"...Cvetaèa (kg)";1.15;2.45;2.50;2.83;2.61
"...Paradižnik, sveži (kg)";2.86;3.30;3.11;3.93;4.65
"...Èebula (kg)";1.35;1.58;1.30;1.25;1.48
"...Korenje (kg)";1.08;1.14;1.06;1.15;1.10
"...Èesen (kg)";7.72;7.50;7.85;8.03;7.40
"...Zelje in repa, kisla (kg)";1.70;1.80;1.82;1.81;1.93
"...Krompir (kg)";0.77;0.95;0.77;0.77;0.94
"01.1.8 SLADKOR, MARMELADA, MED, ÈOKOLADA IN KONDITORSKI IZDELKI";-;-;-;-;-
"...Sladkor, beli (kg)";0.83;0.82;0.86;0.86;1.19
"...Med, cvetlièni (kg)";7.90;7.95;8.10;8.41;9.25
"...Džem (kg)";5.60;5.48;6.17;6.03;6.70
"...Èokolada (kg)";9.46;9.00;9.37;9.26;9.40
"...Sladoled (l)";3.19;3.31;3.50;3.73;4.02
"01.1.9 DRUGI PREHRAMBNI IZDELKI, D.N.";-;-;-;-;-
"...Kis (l)";1.45;1.35;1.45;1.62;1.71
"...Sol, kuhinjska (kg)";0.69;0.72;0.80;0.71;0.80
"...Otroška hrana, za hitro pripravo (kg)";8.18;8.06;8.18;8.46;9.57
"01.2 BREZALKOHOLNE PIJAÈE";-;-;-;-;-
"...Kava, klasièna (kg)";9.24;9.08;9.00;9.17;10.37
"...Èaj (zavitek)";1.35;1.35;1.44;1.50;1.62
"...Mineralna voda, gazirana (l)";0.41;0.44;0.50;0.61;0.63
"...Mineralna voda, negazirana (l)";0.53;0.63;0.62;0.62;0.77
"...Brezalkoholna pijaèa, gazirana (l)";0.77;0.90;0.92;0.98;1.14
"...Sok (l)";1.37;1.40;1.43;1.46;1.52
"02.1 ALKOHOLNE PIJAÈE";-;-;-;-;-
"...Naravno žganje (l)";14.37;14.28;15.55;15.52;16.40
"...Vino, namizno (l)";1.98;2.04;2.05;1.87;2.19
"...Vino, kakovostno (l)";4.85;4.05;4.24;4.59;4.70
"...Pivo, lager (l)";1.77;1.75;1.76;1.83;1.93
"03.1 OBLAÈILA";-;-;-;-;-
"...Moška obleka (kos)";161.17;171.43;154.18;151.12;146.56
"...Moške hlaèe, športni model, dolge (kos)";45.47;46.27;43.56;46.22;44.36
"...Moška srajca (kos)";32.07;33.55;31.08;30.80;29.60
"...Ženske dolge hlaèe (kos)";45.99;47.85;45.58;44.49;41.75
"...Ženska bluza (kos)";34.40;35.35;32.84;32.31;32.06
"...Nedrèek z oporo in oblikovanimi košaricami (kos)";25.60;25.45;23.53;23.80;24.47
"...Otroška trenirka, do 8 let (kos)";25.44;24.25;24.08;27.86;28.39
"...Otroška majica, 8 - 12 let (kos)";8.78;8.91;9.11;10.15;9.62
"...Èišèenje moške obleke (storitev)";13.93;13.99;14.39;15.10;16.53
"03.2 OBUTEV";-;-;-;-;-
"...Moški nizki èevlji, usnjeni (par)";66.86;65.65;62.16;60.04;62.45
"...Ženski salonarji (par)";56.23;56.52;55.01;48.59;47.96
"...Športni copati za tek, ženski (par)";65.90;68.90;66.63;69.18;62.90
"...Otroški èevlji, usnjeni (par)";41.22;43.92;41.05;42.18;42.73
"...Podplatenje moških èevljev, delo in material (par)";18.25;18.46;18.59;18.85;20.26
"04.1 DEJANSKE NAJEMNINE ZA STANOVANJA";-;-;-;-;-
"...Neprofitna najemnina, m2 (storitev)";2.62;2.63;2.57;2.77;3.49
"04.3 VZDRŽEVANJE IN POPRAVILO STANOVANJA";-;-;-;-;-
"...Pleskanje prostorov, delo in material (m2)";2.54;2.65;2.81;3.05;3.33
"04.5 ELEKTRIÈNA ENERGIJA, PLIN IN DRUGA GORIVA";-;-;-;-;-
"...Zemeljski plin, za ogrevanje (kWh)";0.06196;0.06228;0.05890;0.06013;0.10331
"...Kurilno olje (l)";0.964;0.980;0.831;0.991;1.321
"05.1 POHIŠTVO IN STANOVANJSKA OPREMA, PREPROGE IN DRUGE TALNE OBLOGE";-;-;-;-;-
"...Vzmetnica, velikosti 190/200 x 90 cm (kos)";201.79;204.67;208.12;216.43;238.21
"...Sedežna kotna garnitura z ležišèem (kos)";956.09;993.66;987.76;1073.93;1164.50
"...Kuhinjska miza, klasièna (kos)";229.72;219.06;220.08;230.39;265.90
"...Kuhinjski stol (kos)";81.79;80.69;82.17;83.73;91.42
"05.2 TEKSTILNI IZDELKI ZA GOSPODINJSTVO";-;-;-;-;-
"...Jogi rjuha za enojno posteljo (kos)";13.78;14.59;14.09;15.40;19.03
"...Posteljnina za eno osebo (komplet)";29.21;30.85;29.17;30.76;36.14
"...Prešita odeja, 130/140 x 200/220 cm (kos)";42.67;50.13;50.26;53.77;55.86
"...Brisaèa, velikosti 50/70 x 100/150 cm (kos)";7.61;7.66;7.69;7.37;8.10
"05.3 GOSPODINJSKI APARATI";-;-;-;-;-
"...Kombinirani hladilnik, dvoje vrat (kos)";518.55;512.77;499.14;541.76;582.52
"...Pralni stroj, zmogljivost 6 - 8 kg (kos)";450.60;479.05;473.14;494.81;534.20
"...Samostojna kuhalna plošèa,  4 indukcijska kuhališèa (kos)";482.23;462.13;475.90;492.03;531.14
"...Sesalnik za prah, klasièni (kos)";154.97;151.96;161.21;157.16;175.73
"...Likalnik, moè 2500 W (kos)";64.57;60.77;51.30;50.47;56.63
"05.4 STEKLENINA, NAMIZNI PRIBOR IN GOSPODINJSKI PRIPOMOÈKI";-;-;-;-;-
"...Krožnik, premera 23 - 27 cm (kos)";3.21;3.32;3.19;3.31;3.93
"...Kozarec za vodo, navaden, steklen, 2 - 3,3 dl (kos)";1.29;1.34;1.26;1.29;1.34
"...Jedilni pribor, nerjaveè, komplet za 6 oseb (komplet)";39.42;43.79;40.32;40.83;42.50
"...Lonec ali kozica s pokrovko (kos)";24.25;23.63;23.18;24.22;25.31
"...Ponev, premer 24 cm (kos)";18.03;17.59;18.38;17.94;20.29
"05.5 ORODJE IN OPREMA ZA HIŠO IN VRT";-;-;-;-;-
"...Motorna kosilnica, 4 taktna, s košem (kos)";380.94;404.25;407.67;443.08;463.99
"...LED sijalka, 8 W (kos)";5.98;5.60;5.40;5.32;5.57
"...Baterija, alkalna, 1,5 V (kos)";1.09;1.09;1.07;1.07;1.01
"05.6 BLAGO IN STORITVE ZA TEKOÈE VZDRŽEVANJE STANOVANJ";-;-;-;-;-
"...Pralni prašek za strojno pranje perila (kg)";2.67;2.69;2.74;2.70;3.47
"...Tekoèi detergent za roèno pomivanje posode, 500 - 1000 ml (l)";2.16;2.09;2.14;2.20;2.50
"...Sredstvo za strojno pomivanje posode, 20 - 80 tbl (10 tbl)";1.61;1.59;1.59;1.67;1.78
"...Tekoèe kremno èistilo, abrazivno, 450 - 750 ml (l)";2.45;2.57;2.59;2.61;2.92
"...Papirnate brisaèe, paket, 2 - 4 kosi (2 kosa)";1.09;1.20;1.33;1.50;1.76
"06.1 MEDICINSKI PROIZVODI, PRIPOMOÈKI IN OPREMA";-;-;-;-;-
"...Analgetik (Aspirin), 20 tablet (škatla)";5.71;5.72;5.79;5.87;6.01
"...Gastro (Rupurut), 20 tablet (škatla)";6.41;6.48;6.48;6.55;6.79
"...Sirup za blaženje kašlja za odrasle, 150 - 200 ml, steklenièka (kos)";6.98;7.14;7.17;7.27;7.65
"...Vitamin C (20 tbl)";4.25;4.25;4.26;4.26;4.34
"...Noseèniški test (kos)";4.39;4.19;4.18;4.43;4.54
"...Perservativi, 3 kosi (škatla)";2.38;2.58;2.41;2.54;2.54
"...Termometer, osebni, digitalni (kos)";7.56;7.60;7.64;8.00;8.78
"07.1 NAKUP PREVOZNIH SREDSTEV";-;-;-;-;-
"...Nov osebni avtomobil - Renault Clio (kos)";12278.34;12446.62;12400.77;13642.96;15135.11
"...Nov osebni avtomobil - VW Polo (kos)";14045.83;14901.42;15205.47;15945.06;17586.33
"...Kolo za odrasle, 26''  (kos)";236.68;238.99;248.39;268.11;303.45
"07.2 PROIZVODI IN STORITVE ZA OSEBNA VOZILA";-;-;-;-;-
"...Avtomobilski plašè, 205/55 R 16 (91) (kos)";69.48;71.30;70.46;68.71;78.48
"...Dieselsko gorivo (l)";1.280;1.251;1.063;1.274;1.641
"...Motorni bencin NMB 100 (l)";1.448;1.415;1.207;1.384;1.829
"...Motorni bencin NMB 95 (l)";1.323;1.286;1.068;1.219;1.499
